SERVER ROUTES ANALYSIS
================================================================================
Generated at: 2025-06-04 19:16:34.748579
================================================================================

GET    /                                                  (api/admin_users_endpoints.py)
GET    /count                                             (api/admin_users_endpoints.py)
GET    /stats                                             (api/admin_users_endpoints.py)
GET    /active                                            (api/admin_users_endpoints.py)
GET    /{user_id}                                         (api/admin_users_endpoints.py)
POST   /                                                  (api/admin_users_endpoints.py)
PUT    /{user_id}                                         (api/admin_users_endpoints.py)
PUT    /{user_id}/role                                    (api/admin_users_endpoints.py)
POST   /{user_id}/lock                                    (api/admin_users_endpoints.py)
POST   /{user_id}/unlock                                  (api/admin_users_endpoints.py)
DELETE /{user_id}                                         (api/admin_users_endpoints.py)
POST   /{user_id}/reset-password                          (api/admin_users_endpoints.py)
GET    /summary                                           (api/admin_dashboard_endpoints.py)
POST   /queue/pause                                       (api/admin_dashboard_endpoints.py)
POST   /queue/resume                                      (api/admin_dashboard_endpoints.py)
POST   /actions/reindex                                   (api/admin_dashboard_endpoints.py)
POST   /actions/clear-cache                               (api/admin_dashboard_endpoints.py)
POST   /actions/optimize-database                         (api/admin_dashboard_endpoints.py)
GET    /analytics/trends                                  (api/admin_dashboard_endpoints.py)
GET    /summary                                           (api/admin_statistics_endpoints.py)
GET    /usage-trend                                       (api/admin_statistics_endpoints.py)
GET    /user-segmentation                                 (api/admin_statistics_endpoints.py)
GET    /feedback-ratings                                  (api/admin_statistics_endpoints.py)
GET    /performance-metrics                               (api/admin_statistics_endpoints.py)
GET    /session-distribution                              (api/admin_statistics_endpoints.py)
GET    /export                                            (api/admin_statistics_endpoints.py)
GET    /stats                                             (api/admin_feedback_endpoints.py)
GET    /list                                              (api/admin_feedback_endpoints.py)
GET    /negative                                          (api/admin_feedback_endpoints.py)
POST   /filter                                            (api/admin_feedback_endpoints.py)
GET    /{feedback_id}                                     (api/admin_feedback_endpoints.py)
PUT    /{feedback_id}/status                              (api/admin_feedback_endpoints.py)
DELETE /{feedback_id}                                     (api/admin_feedback_endpoints.py)
POST   /export                                            (api/admin_feedback_endpoints.py)
GET    /export                                            (api/admin_feedback_endpoints.py)
POST   /batch-update-status                               (api/admin_feedback_endpoints.py)
GET    /insights/common-issues                            (api/admin_feedback_endpoints.py)
GET    /system/resources                                  (api/admin_system_endpoints.py)
GET    /system/processes                                  (api/admin_system_endpoints.py)
GET    /system/rag/metrics                                (api/admin_system_endpoints.py)
GET    /background/jobs                                   (api/admin_system_endpoints.py)
GET    /dashboard/summary                                 (api/admin_system_endpoints.py)
GET    /system/logs                                       (api/admin_system_endpoints.py)
DELETE /system/logs                                       (api/admin_system_endpoints.py)
GET    /statistics                                        (api/doc_converter_enhanced_endpoints.py)
GET    /classification-data                               (api/doc_converter_enhanced_endpoints.py)
GET    /queue                                             (api/doc_converter_enhanced_endpoints.py)
GET    /recent                                            (api/doc_converter_enhanced_endpoints.py)
GET    /settings                                          (api/doc_converter_enhanced_endpoints.py)
POST   /settings                                          (api/doc_converter_enhanced_endpoints.py)
POST   /process                                           (api/doc_converter_enhanced_endpoints.py)
GET    /document/{document_id}                            (api/doc_converter_enhanced_endpoints.py)
POST   /retry/{document_id}                               (api/doc_converter_enhanced_endpoints.py)
POST   /queue/pause                                       (api/doc_converter_enhanced_endpoints.py)
POST   /queue/resume                                      (api/doc_converter_enhanced_endpoints.py)
DELETE /queue/{job_id}                                    (api/doc_converter_enhanced_endpoints.py)
GET    /health                                            (api/rag_endpoints.py)
GET    /performance                                       (api/rag_endpoints.py)
GET    /stats                                             (api/rag_endpoints.py)
POST   /optimize-memory                                   (api/rag_endpoints.py)
GET    /cache/stats                                       (api/rag_endpoints.py)
GET    /stats                                             (api/knowledge_manager_endpoints.py)
GET    /categories                                        (api/knowledge_manager_endpoints.py)
GET    /documents                                         (api/knowledge_manager_endpoints.py)
POST   /documents/upload                                  (api/knowledge_manager_endpoints.py)
POST   /documents/{document_id}/reprocess                 (api/knowledge_manager_endpoints.py)
DELETE /documents/{document_id}                           (api/knowledge_manager_endpoints.py)
GET    /graph/data                                        (api/knowledge_manager_endpoints.py)
GET    /queue/status                                      (api/background_processing_endpoints.py)
GET    /jobs                                              (api/background_processing_endpoints.py)
GET    /stats                                             (api/background_processing_endpoints.py)
POST   /queue/pause                                       (api/background_processing_endpoints.py)
POST   /queue/resume                                      (api/background_processing_endpoints.py)
POST   /submit-job                                        (api/background_processing_endpoints.py)
POST   /submit-batch                                      (api/background_processing_endpoints.py)
POST   /cancel/{job_id}                                   (api/background_processing_endpoints.py)
POST   /retry/{job_id}                                    (api/background_processing_endpoints.py)
DELETE /clear-completed                                   (api/background_processing_endpoints.py)
GET    /job-types                                         (api/background_processing_endpoints.py)
GET    /ocr-status                                        (api/advanced_documents_endpoints.py)
GET    /processing-stats                                  (api/advanced_documents_endpoints.py)
POST   /process-with-ocr                                  (api/advanced_documents_endpoints.py)
GET    /quality-report/{document_id}                      (api/advanced_documents_endpoints.py)
GET    /extraction-patterns                               (api/advanced_documents_endpoints.py)
POST   /batch-analyze                                     (api/advanced_documents_endpoints.py)
GET    /headers                                           (api/test_endpoints.py)
GET    /auth-test                                         (api/test_endpoints.py)
